expt,HDonors,HAcceptors,AromaticRings,Morgan1,MaxAbsCharge
-11.01,0,2,1,1.2307692307692308,11.429183201058201
-4.87,0,2,0,1.6,9.397376543209877
1.83,0,0,0,1.6,3.560185185185185
-5.45,0,2,1,1.5,4.034722222222222
-4.21,1,1,0,1.0,8.365586734693878
-6.27,1,1,1,1.0,8.99388888888889
2.34,0,0,0,0.6666666666666666,2.240740740740741
-3.92,1,1,0,1.4285714285714286,9.01763888888889
1.58,0,0,0,0.875,2.3787962962962963
-4.62,1,1,0,1.8,8.36111111111111
-1.96,0,0,0,1.3333333333333333,3.0625
-3.88,1,1,0,1.4285714285714286,8.935185185185185
-4.33,0,1,1,1.5,4.097222222222222
-2.49,0,2,0,1.4444444444444444,10.579722222222223
-2.55,1,1,1,1.0,4.084382716049383
-4.78,1,1,0,1.1818181818181819,8.5533841962711
-1.46,0,0,1,0.8888888888888888,2.238425925925926
-2.22,0,1,1,1.2222222222222223,5.2058333333333335
-5.85,1,1,1,1.125,8.735833333333332
2.88,0,0,0,1.1428571428571428,2.2743055555555554
-6.34,0,4,0,1.0,10.125718537414967
-6.1,0,8,0,0.6842105263157895,5.554592466616276
-5.48,1,1,0,0.875,9.089166666666667
-4.1,0,2,0,1.7142857142857142,10.351851851851851
-4.1,0,1,1,1.125,8.287592592592592
-3.52,0,1,0,1.6666666666666667,7.947361111111111
-4.47,1,1,0,1.2,8.520833333333332
-2.74,0,1,0,1.0,10.842592592592592
-3.43,0,1,0,2.0,9.17361111111111
-7.81,0,1,0,1.6,9.430555555555555
-0.8,0,0,1,0.75,2.1203703703703702
0.93,0,0,0,1.2,3.4791666666666665
-6.78,2,2,2,1.0,11.123831884605693
-9.29,0,1,1,1.1818181818181819,11.27037037037037
-4.07,1,1,0,1.2,3.111111111111111
-5.91,1,1,1,1.0,9.022397959183674
-2.13,0,2,0,1.625,9.564127928949357
-3.64,1,1,0,0.7272727272727273,8.507012641489101
-2.68,0,2,0,1.5714285714285714,10.189583333333333
3.13,0,0,0,0.5555555555555556,2.2637110260770976
